스트링 인덱스  ID,한국어 텍스트,영어 텍스트,기획용 비고
help_item_1,아이템 보관함에서 아이템을 드래그하여 영웅에게 장착가능합니다.,You can equip items to heroes by dragging them from the item storage.,
help_item_2,아이템은 각 영웅별로 최대2개씩 장착 가능합니다,Each hero can be equipped with up to 2 items.,
help_item_3,아이템을 팀원 슬롯에 드래그하면 팀원에게 전달이 가능합니다,Items can be transferred to teammates by dragging them to a teammate's slot.,
help_item_4,아이템 슬롯은 최대 3칸이며 임시 보관함이 존재합니다.,There are up to 3 item slots and a temporary storage area is available.,
help_item_5,임시 보관함 아이템은 기존 아이템을 먼저 사용하기 전까지 사용 불가합니다.,Items in temporary storage cannot be used until the existing items are used first.,
help_hero_1,[내 영웅]을 눌러 영웅 정보 스킬 정보 증강 정보에 대해 알 수 있습니다.,Tap [My Heroes] to view hero's information.,
help_hero_2,골드를 소모하여 영웅을 구매 가능합니다.,Heroes can be purchased using Gold.,
help_hero_3,영웅은 레벨이 존재하며 경험치가 가득차면 골드를 소모해 레벨업이 가능합니다.,Heroes have levels. when EXP is full you can level them up by spending Gold.,
help_hero_4,구매한 영웅만 레벨업이 가능하며 구매하지 않은 영웅도 경험치는 획득 가능합니다.,Only purchased heroes can level up but unpurchased heroes can still earn EXP.,
help_hero_5,전투 종료 후 해당 전투에서 사용한 영웅만 경험치를 획득합니다.,After battle only the heroes used in that combat will earn EXP.,
title_guest_create,게스트 계정 생성,Create Guest Account,텍스트 / 현재 인게임에 회원 가입으로 표시되어있음.
title_guest_create_recovered,게스트 계정은 분실 시 복구가 불가능 합니다. 로비 ▶ 설정에서 구글 연동을 진행해주세요.,Guest accounts cannot be recovered if lost. Please link your Google account in Lobby ▶ Settings.,텍스트
signup_create,생성,Create,버튼 / 현재 인게임에 회원가입으로 되어있음.
signup_cancel,취소,Cancel,버튼
signup_welcome,님 회원가입을 환영합니다., Welcome!,텍스트
signup_agree_terms,약관동의,Terms of Service,
signup_agree_must_required,게임 이용을 위해 필수 약관 동의가 필요합니다.,Agreement to the required terms is necessary to play the game.,
signup_agree_all,모두 동의합니다.,Agree to all terms.,
signup_required_agree_terms,[필수] 이용약관 동의,[Required] Agree to Terms of Service,
signup_required_agree_privacy,[필수] 개인 정보 처리방침 동의,[Required] Agree to Privacy Policy,
signup_details,상세보기,View Details,
signup_agree_start,동의하고 시작,Agree and Start,
ui_toast_account_not_found,계정을 찾을 수 없습니다.,Account could not be found.,
btn_1vs1_match,1vs1 매칭,1 vs 1,로비 버튼
btn_2vs2_match,2vs2 매칭,2 vs 2,로비 버튼
btn_macro,매크로,Macro,로비 버튼
btn_robby,로비,Lobby,로비 버튼
btn_myhero,내 영웅,Heroes,로비 버튼
btn_setting_sound,소리,Sound,환경설정 카테고리 버튼
btn_setting_screen,화면,Screen,환경설정 카테고리 버튼
btn_setting_etc,기타,Others,환경설정 카테고리 버튼
btn_setting_logout,로그아웃,Logout,버튼
ui_return_title,타이틀로 돌아가시겠습니까?,Return to title screen?,
btn_setting_exit,게임종료,Exit Game,버튼
setting_user_manage,계정관리,Account Settings,환경설정 - 기타
btn_setting_delete,계정삭제,Delete Account,버튼
ui_setting_delete_account,계정을 삭제하시겠습니까?,Are you sure you want to delete your account?,
ui_setting_delete_account_recovered,삭제한 계정은 복구가 불가능합니다.,Deleted accounts cannot be recovered.,
btn_name_change,닉네임 변경,Change Nickname,버튼
name_Enter,닉네임 작성,Enter Nickname,텍스트
btn_change,변경,Change,버튼
ui_setting_information,안내 사항,Information,
btn_credit,개발자 크레딧,Credits,버튼
btn_operation_policy,운영 정책 안내,Operating Policy,버튼
btn_macro_text,텍스트 매크로,Text Macro,버튼
btn_macro_emoticon,이모티콘,Emoticon,버튼
macro_equip,장착된 매크로,Equipped Macros,
macro_ownlist,보유 목록,Owned List,
btn_macro_save,저장하기,Save,버튼
hero_collection,영웅 컬렉션,Hero Collection,
btn_hero_name,이름,Name,버튼
btn_hero_level,레벨,Level,버튼
btn_hero_role,역할,Role,버튼
btn_hero_buy,구매,Buy,버튼
popup_hero_buy_unavailable,골드가 부족하여 구매할 수 없습니다.,Not enough gold to complete the purchase.,
btn_hero_buy_cancel,취소,Cancel,골드 부족 팝업 취소버튼
btn_hero_upgrade,업그레이드,Upgrade,버튼
hero_stat,유닛정보,Unit Info,영웅 스탯 관련 id 참고
hero_stat_hp,체력,HP,
hero_stat_atk,공격력,ATK,
hero_stat_atkspeed,공격 속도,Attack Speed,
hero_stat_movespeed,이동 속도,Movement Speed,
hero_stat_detectionRange,감지 범위,Detection Range,
hero_stat_spawncooldown,재소환 시간,Respawn Cooldown,
hero_stat_cooltimereduce,쿨타임 증감,Cooldown Reduction,
hero_stat_damagereduce,피해 감소량,Damage Reduction,
hero_stat_movetype,이동 유형,Movement Type,
hero_des_movetype,소형 유닛은 운석지대를 통과할 수 있습니다.\n대형 유닛은 통과할 수 없습니다.,Small units can pass through asteroid fields.\nLarge units cannot.,
hero_skill_information,영웅 스킬 정보,Skill Info,영웅 스킬 관련 id 참고
hero_skill_normal,기본 스킬,Basic Skill,
hero_augment_information,영웅 증강 정보,Augment Info,영웅 증강 관련 id 참고
matching_find,상대를 찾는중....,Finding...,
btn_matching_cancel,매칭 취소,Cancel,
ingame_touchholding,터치 홀드 시 핑 전송 가능,Hold touch to send a ping.,
ingame_augment_select_upgrade,업그레이드 선택,Select Upgrade,
ingame_limit_time,제한 시간: {0}초,Time Limit: {0} sec,
btn_ingame_augment_select,확정,Confirm,버튼
popup_macro_empty,지정된 매크로가 없습니다.,No macro assigned.,팝업
hero_skill_normal,기본 스킬,Basic Skill,영웅 스킬 정보 데이터와 같은듯.
ingame_augment_empty,증강 없음,No Augment,증강이름
ingame_augment_des_empty,적용된 증강이 없습니다.,No augments applied.,증강설명
ingame_item_empty,장착 아이템이 없습니다.,No items equipped.,
signup_check_name,닉네임 중복 체크를 해주세요,Please check for duplicate nicknames.,
signup_check_word_detected,부적절한 단어가 포함되어있습니다: {0},Inappropriate word detected: {0},
signup_check_unsupported_characters,허용되지 않는 문자(이모지&특수문자 등)만 포함되어 있습니다.,Contains only unsupported characters (emojis & special characters & etc.),
hero_buy_not_enough_gold,골드 부족,Not enough gold,
hero_max_level,최고 레벨,Max Level,
hero_lvup_not_enough_exp,경험치가 부족하여 레벨업할 수 없습니다.,Not enough EXP to level up.,
hero_lvup_not_enough_gold,골드가 부족하여 레벨업할 수 없습니다.,Not enough Gold to level up.,
popup_hero_lvup,레벨업 하시겠습니까?,Would you like to level up?,
hero_lvup,레벨업,Level Up,
hero_Requirements_not_met,조건부족,Requirements not met,
hero_stat_healingpower,치유력,Healing Power,
hero_buy_purchase,을(를) 구매하시겠습니까?,Would you like to purchase?,
setting_user_link,계정 연동,Link Account,
macro_emoticon_equip,장착된 이모티콘,equip emoticon,
ui_toast_unblock_player,차단 해제,Unblock,
ui_toast_block_player,차단 완료,Block,
signup_check_name_taken,이미 사용 중인 닉네임입니다.,This nickname is already taken.,
signup_check_account_delete,계정을 삭제하시겠습니까?,Are you sure you want to delete your account?,
signup_check_link_google,구글 계정으로 연동하시겠습니까?,Would you like to link your Google account?,
signup_check_return_title,타이틀로 돌아가시겠습니까?,Return to the title screen?,
signup_check_name_available,사용 가능한 닉네임입니다.,This nickname is available.,
signup_create_google_account,구글 계정 생성,Create Google Account,
setting_logout_another_device,다른 환경에서 접속되어 로그아웃 됩니다.,Logged in from another device. You will be logged out.,
title_version_update,버전을 업데이트 해주세요.,Please update to the latest version.,
link_complete,연동 완료,Linking complete,
sname_change_complete,닉네임 변경이 완료되었습니다.,Nickname changed,
help_play_4,운석 지대가 존재하며 운석 지대는 소형 영웅만 통과 가능합니다.\n대형 영웅은 게이트를 통해 이동 가능합니다.,"Meteor fields are present, and only Small Heroes can pass through them.\nLarge Heroes must travel through Gates.",
help_play_5,운석 지대 아래쪽에만 배치가 가능하며\n상대의 포탑을 파괴하면 운석 지대 위쪽에도 배치가 가능합니다.,Deployment is only possible below the Meteor Field\nbut destroying enemy Turrets allows deployment above the Meteor Field.,
help_augment_6,선택하지 않은 스킬 증강은 12번째 증강부터 강화되어 등장합니다.,"Starting from the 12th augment, unselected Skill Augments will reappear in an enhanced state.",
